,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
2237,0,2018,0.8660254038,-0.5,174388.583715,0,0,1,0,0,1,0,0,2,3823
10060,0,2018,0.8660254038,-0.5,78542.153858,0,0,1,0,0,1,0,0,0,3813
2806,0,2018,0.8660254038,-0.5,498135.998287,0,0,1,0,0,1,0,0,0,3802
3900,0,2017,-0.8660254038,0.5,14947063.213408,0,0,2,0,0,1,0,2,0,3764
9920,0,2018,0.8660254038,-0.5,49186.462215,0,0,2,1,0,1,0,0,0,3748
1415,0,2018,0.8660254038,-0.5,78554.904188,0,0,2,1,0,1,0,0,0,3743
1921,0,2018,1,6.12323399573677E-17,1340120.013002,0,0,1,0,1,1,0,0,1,3743
1291,0,2018,0.8660254038,-0.5,160705.724567,0,0,1,0,0,1,0,1,0,3736
10291,0,2018,0.8660254038,-0.5,614214.155857,1,0,1,0,1,1,0,2,0,3639
10278,0,2018,0.8660254038,-0.5,186049.096833,0,1,1,0,0,1,0,1,1,3631
10373,0,2018,0.8660254038,-0.5,66654.155317,0,0,1,0,0,1,0,0,0,3630
3258,0,2018,0.8660254038,-0.5,405883.760828,1,0,1,0,0,1,0,0,0,3623
9125,0,2018,0.8660254038,-0.5,74844.613666,0,0,1,1,0,1,0,0,0,3614
659,0,2018,0.8660254038,-0.5,442038.763512,0,0,1,0,0,1,0,0,3,3581
9854,0,2018,0.8660254038,-0.5,74428.007294,1,0,1,0,0,1,0,0,1,3580
1418,0,2018,0.8660254038,-0.5,83712.910919,1,0,1,0,0,1,0,0,1,3579
5818,0,2018,0.8660254038,-0.5,46171.475998,0,0,1,0,0,1,0,0,0,3566
1215,0,2018,0.8660254038,-0.5,88884.502521,0,0,0,0,1,1,13577,0,0,3564
10069,0,2018,0.8660254038,-0.5,83590.18434,0,0,1,0,0,1,0,0,1,3550
2332,0,2018,1,6.12323399573677E-17,3321519.347443,0,0,1,0,0,1,0,0,0,3447
1681,0,2018,0.5,0.8660254038,7753057.137573,0,0,0,0,0,1,7726,0,0,3438
2410,0,2018,0.8660254038,0.5,3877374.482159,1,0,1,0,1,1,0,2,1,3406
3437,0,2018,0.8660254038,-0.5,228991.82315,0,0,1,0,0,1,0,0,0,3397
1203,0,2017,-1,-1.83697019872103E-16,18911666.004715,0,0,1,1,0,1,0,0,0,3377
10319,0,2018,1,6.12323399573677E-17,1917664.865386,0,0,1,0,0,1,0,1,0,3360
7153,0,2018,0.8660254038,-0.5,70374.762841,0,0,1,0,0,1,0,0,0,3352
2822,0,2018,1,6.12323399573677E-17,1125109.334777,0,0,1,0,1,1,0,2,0,3344
2407,0,2018,0.8660254038,0.5,3620198.473038,1,0,1,0,0,1,0,0,0,3312
1506,0,2018,1,6.12323399573677E-17,1524003.629918,0,0,1,0,1,1,0,0,0,3303
9102,0,2018,0.8660254038,-0.5,53240.279663,0,0,1,0,0,1,0,2,0,3285
8144,0,2018,0.8660254038,-0.5,450085.008356,0,1,1,1,0,1,0,0,0,3282
6323,0,2018,0.8660254038,-0.5,187908.3295,0,0,1,0,0,1,0,1,1,3277
7205,0,2018,1,6.12323399573677E-17,2338863.406427,0,0,1,0,0,1,0,0,0,3252
1444,0,2018,0.8660254038,-0.5,224940.345777,0,0,2,0,0,1,0,0,0,3245
3940,0,2018,0.8660254038,-0.5,221981.3302,0,0,2,0,0,1,0,0,0,3245
7323,0,2018,0.8660254038,-0.5,226076.909207,0,0,2,0,0,1,0,0,0,3245
7590,0,2018,0.8660254038,-0.5,323931.027309,0,0,3,0,0,1,0,1,0,3215
